"StudentId","CoachName","FirstGen","Race","Disability","Classification","SevenTargetSchools","NotifiedStudent","ScholarshipMatchingComplete","ScholarshipEssay","ScholarshipDeadlines","ScholarshipEssay3","ReviewOfEssay","AdmissonDealines","Rejected","Waitlisted","Accepted","CollegePacketComplete","CoachFinalReview","Lor","Interview","Award","CompletedFafsa","Resume"
"ASCC1","Curtis ",true,"Black ",false,"Grad/MED",true,true,true,true,"""Oct. 31st"," Jan. 5""","","Y","DATE(S)",false,false,true,"","Y",true,,"EARLY EVALUATION","TEACHER"
"ASCCA","Curtis ",true,"Black ",false,"LAW",true,true,true,true,"""Oct. 1st"," Dec.1st""","","Y","DATE(S)",true,"Y- OPTION TO APPEAL",false,"","Y",true,,"EARLY EVALUATION","TEACHER"
"ASCCK","Curtis ",true,"Black ",false,"Junior",true,true,true,true,"2020","","Date(S)","Date(S)",false,false,false,,"N","Teacher",false,25,false,true
"ASCC7","Curtis ",true,"Black ",false,"Junior",true,true,true,true,"2020","","Date(S)","Date(S)",false,false,false,,"N","Teacher",false,10,false,true
"ASCCJ","July",true,"Black ",false,"Junior",true,true,true,true,"2020","","Date(S)","Date(S)",false,false,false,,"N","Teacher",false,1,false,true
"ASCC9","Curtis ",true,"Other",true,"Junior",true,true,true,true,"2020","","Date(S)","Date(S)",false,false,false,,"N","Teacher",false,2,false,true
"ASCCT","Jourdain",false,"Other",false,"Junior",true,true,true,true,"2020","","Date(S)","Date(S)",false,false,false,,"N","Teacher",false,2,false,true
"ASCCR","Jourdain",true,"Other",false,"Junior",true,true,true,true,"2020","","Date(S)","Date(S)",false,false,false,,"N","Teacher",false,500,false,true
"ASCC6","Jourdain",true,"Other",false,"Senior",true,true,true,true,"Dec. 1st","","Date(S)","Date(S)",false,false,true,,"Wating for Student","Teacher",false,750,true,true
"ASCC2","Tre",true,"Other",false,"Senior",true,true,true,true,"Dec. 1st","","Date(S)","Date(S)",false,false,true,,"Wating for Student","Teacher",false,10,true,true
"ASCC4","Tre",true,"Black ",false,"Senior",true,true,true,true,"Dec. 1st","","Date(S)","Date(S)",false,false,true,,"Wating for Student","Teacher",false,50,true,true
"111","oin","oin","oi","nio","n","o","no","in","o","oin","oi","nio","oin","oi","no","ino","ino","ino","in","oi",,false,"oin"
"12345","jn","ij","ni","jn","ijn","ijn","ij","ni","jn","ij","nij","n","ijn","ij","ij",false,"ijn","ij","ni","ijn",,"ijn",false
"111ui","g","iug","iu","gi","ug","iug","iugiug","iu","gi","gig","uig","g","g","gu","i","g","u","iu","gi","u",,"uui","ug"
"11","uih","iu","i","u","iuh","iu","hiu","h","iuh","iuh","iu","hi","iuh","iu","hiu","hi","uh","iuh","iu","hi",,"uh","hi"
"1ui","ui","g","iug","iug","iug","iug","g","iug","iu","gi","ug","iug","giu","i","ug","iu","giu","g","iug","iug",,"iu","iug"
"ijnipunp","iunipu","ipun","ipu","ni","pun","iun","i;un","i","nju","inj","inj","iu","nj","inj","iu","njp;","iu",";im","pi","i;jn",,"nji","nj"
"23345","h","bj","hb","jhb","jhb","jhb","jhb","jhb","jhbjhb","jh","bjh","bjh","jhb","jhb","jhb","jhb","jhb","hj","jhb",,,"jhb","jhb"
"4321","ytf","ytd","yt","fyt","f","yfty","yt","fty","fyt","fytf","ytf","ytf","ytfy","tfyt","vyt","fytfyt","vyt","vty","ytv","yv",,"ytf","yv"
"9900","kj","kjb","kj","nk","jn","kjn","kj","nkj",false,"kjn","jkn","kjn","kj","nkj","kjn","kjn","kjn","kjn","kjn","nkj",,"kjn","kj"
"6688lu","yb","uyb","uyb","uyb","yu","buy","buy","b","uyb","uyhb","u","bhy","khgb","ukbyh","uyhb","kub","uk","byuk","b","uby",,"kuhb","uybh"
"7700","hjb","jhb","jhb","hjb","jhb","jhbjhb","jhb","jhb","jh","jh","bjh","b","jhb","jhb","jhb","jhb","jh","bjhb","jhb","jh",,"jhb","jhb"
"990099i","unj","inj","in","i","n","ijn","ijn","ijn","ijn","ijn","ij","m","mkj","jn","kj","nkj",false,"kjn","kjn","kj",,"jk","kjn"
"8899","jh ","jh ","jh"," hj"," ","jh ","jh j","h j","h","jhn","kj","kj","jn","kjn","kjn","kjn","kjn","jkn","kj","nkj",,"nk","nkj"
"9988","iun","ijn","j","kn","kjn","kjn","kjn","kj","nkj","n","kjn","kjn","kj","nkjn","jn","j","kj","j","kjn","kj",,"kj","kjn"
"555","oin","oin","oi","oi","kl","k","lk","lk","lk","lk","lk","lk","kl","lk","lk","lk","kl","lkn","kl",,,"lk","kl"
"777","oin","on","oi","noi","oi",false,"oin","ion","oi","ion","oin","oin","oi","noi",false,"oin","ion","oin","io",false,,"oin","noi"
"4444","o","m","klm","lk","mlk","ml","km","klm","klm","lk","klm","lkm","lkm","klm","klm","kl","mlkm","lk","mlk","mkl",,"lkm","mkl"
"iwww","klm","lkm","lk","ml","km","lkm","lm","lkm","lkm","lkm","lkm","lkm","lkm","lkm","lk","mlk","ml","km","lkm","lkm",,"lkm","lkm"
"111111",,,,,,,,,,,,,,,,,,,,,,,
"222776",,,,,,,,,,,,,,,,,,,,,,,
